         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
          14	       react	           1	         -99	           0	           1	     11.2763	     6.95634	 -3.0959e-01	  5.0489e+00	  5.1050e+00	  1.1463e-01	  6.9875e-04	  9.4077e-02	  0.0000e+00	  2.2248e-02	  4.4490e-03	  0.0000e+00	 -2.3973e-02	  1.0695e-01	  1.0457e-02	
          14	       react	           1	         -99	           0	           2	      11.279	     6.95334	 -3.0959e-01	  5.0775e+00	  5.1338e+00	  1.1484e-01	  7.0271e-04	  9.4178e-02	  0.0000e+00	  2.2248e-02	  2.6238e-08	  0.0000e+00	  0.0000e+00	  1.0737e-01	  4.2644e-04	
          14	       react	           1	         -99	           0	           3	     11.2817	     6.95032	 -3.0959e-01	  5.1064e+00	  5.1631e+00	  1.1506e-01	  7.0670e-04	  9.4278e-02	  0.0000e+00	  2.2248e-02	  2.6125e-08	  0.0000e+00	  0.0000e+00	  1.0780e-01	  4.2774e-04	
          14	       react	           1	         -99	           0	           4	     11.2844	     6.94728	 -3.0959e-01	  5.1356e+00	  5.1926e+00	  1.1528e-01	  7.1075e-04	  9.4379e-02	  0.0000e+00	  2.2248e-02	  2.6011e-08	  0.0000e+00	  0.0000e+00	  1.0823e-01	  4.2905e-04	
          14	       react	           1	         -99	           0	           5	     11.2875	     6.94382	 -3.5000e-01	  5.1690e+00	  5.2264e+00	  1.1553e-01	  7.1538e-04	  9.4492e-02	  0.0000e+00	  2.2248e-02	  2.9266e-08	  0.0000e+00	  0.0000e+00	  1.0872e-01	  4.8664e-04	
          14	       react	           1	         -99	           0	           6	     11.2906	     6.94032	 -3.5000e-01	  5.2029e+00	  5.2607e+00	  1.1578e-01	  7.2007e-04	  9.4605e-02	  0.0000e+00	  2.2248e-02	  2.9117e-08	  0.0000e+00	  0.0000e+00	  1.0920e-01	  4.8834e-04	
          14	       react	           1	         -99	           0	           7	     11.2937	      6.9368	 -3.5000e-01	  5.2372e+00	  5.2954e+00	  1.1603e-01	  7.2482e-04	  9.4718e-02	  0.0000e+00	  2.2248e-02	  2.8967e-08	  0.0000e+00	  0.0000e+00	  1.0969e-01	  4.9006e-04	
          14	       react	           1	         -99	           0	           8	     11.2969	     6.93325	 -3.5000e-01	  5.2720e+00	  5.3306e+00	  1.1629e-01	  7.2963e-04	  9.4831e-02	  0.0000e+00	  2.2248e-02	  2.8815e-08	  0.0000e+00	  0.0000e+00	  1.1019e-01	  4.9179e-04	
          14	       react	           1	         -99	           0	           9	     11.3001	     6.92967	 -3.5000e-01	  5.3073e+00	  5.3662e+00	  1.1654e-01	  7.3451e-04	  9.4943e-02	  0.0000e+00	  2.2248e-02	  2.8661e-08	  0.0000e+00	  0.0000e+00	  1.1068e-01	  4.9354e-04	
          14	       react	           1	         -99	           0	          10	     11.3033	     6.92606	 -3.5000e-01	  5.3430e+00	  5.4023e+00	  1.1680e-01	  7.3946e-04	  9.5055e-02	  0.0000e+00	  2.2248e-02	  2.8506e-08	  0.0000e+00	  0.0000e+00	  1.1117e-01	  4.9530e-04	
          14	       react	           1	         -99	           0	          11	     11.3065	     6.92242	 -3.5000e-01	  5.3792e+00	  5.4390e+00	  1.1706e-01	  7.4447e-04	  9.5166e-02	  0.0000e+00	  2.2248e-02	  2.8350e-08	  0.0000e+00	  0.0000e+00	  1.1167e-01	  4.9707e-04	
          14	       react	           1	         -99	           0	          12	     11.3098	     6.91874	 -3.5000e-01	  5.4159e+00	  5.4761e+00	  1.1732e-01	  7.4955e-04	  9.5277e-02	  0.0000e+00	  2.2248e-02	  2.8192e-08	  0.0000e+00	  0.0000e+00	  1.1217e-01	  4.9886e-04	
          14	       react	           1	         -99	           0	          13	     11.3131	     6.91504	 -3.5000e-01	  5.4531e+00	  5.5137e+00	  1.1758e-01	  7.5470e-04	  9.5388e-02	  0.0000e+00	  2.2248e-02	  2.8032e-08	  0.0000e+00	  0.0000e+00	  1.1267e-01	  5.0067e-04	
          14	       react	           1	         -99	           0	          14	     11.3164	      6.9113	 -3.5000e-01	  5.4909e+00	  5.5518e+00	  1.1785e-01	  7.5992e-04	  9.5498e-02	  0.0000e+00	  2.2248e-02	  2.7871e-08	  0.0000e+00	  0.0000e+00	  1.1317e-01	  5.0249e-04	
