         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
           8	       react	           1	         -99	           0	           1	     11.2747	     6.95817	 -1.3174e-01	  5.0191e+00	  5.0750e+00	  1.1443e-01	  6.9650e-04	  9.3948e-02	  0.0000e+00	  1.3348e-02	  4.4490e-03	  0.0000e+00	 -1.0492e-02	  5.8502e-02	  1.0284e-02	
           8	       react	           1	         -99	           0	           2	     11.2758	      6.9569	 -1.3174e-01	  5.0311e+00	  5.0871e+00	  1.1452e-01	  6.9817e-04	  9.3991e-02	  0.0000e+00	  1.3348e-02	  1.1229e-08	  0.0000e+00	  0.0000e+00	  5.8683e-02	  1.8072e-04	
           8	       react	           1	         -99	           0	           3	     11.2771	     6.95544	 -1.5150e-01	  5.0450e+00	  5.1012e+00	  1.1463e-01	  7.0009e-04	  9.4040e-02	  0.0000e+00	  1.3348e-02	  1.2889e-08	  0.0000e+00	  0.0000e+00	  5.8891e-02	  2.0812e-04	
           8	       react	           1	         -99	           0	           4	     11.2784	     6.95397	 -1.5150e-01	  5.0590e+00	  5.1153e+00	  1.1473e-01	  7.0203e-04	  9.4090e-02	  0.0000e+00	  1.3348e-02	  1.2862e-08	  0.0000e+00	  0.0000e+00	  5.9099e-02	  2.0843e-04	
           8	       react	           1	         -99	           0	           5	     11.2798	      6.9525	 -1.5150e-01	  5.0730e+00	  5.1295e+00	  1.1484e-01	  7.0398e-04	  9.4139e-02	  0.0000e+00	  1.3349e-02	  1.2834e-08	  0.0000e+00	  0.0000e+00	  5.9308e-02	  2.0874e-04	
           8	       react	           1	         -99	           0	           6	     11.2811	     6.95102	 -1.5150e-01	  5.0871e+00	  5.1437e+00	  1.1495e-01	  7.0594e-04	  9.4188e-02	  0.0000e+00	  1.3349e-02	  1.2807e-08	  0.0000e+00	  0.0000e+00	  5.9517e-02	  2.0905e-04	
           8	       react	           1	         -99	           0	           7	     11.2824	     6.94954	 -1.5150e-01	  5.1013e+00	  5.1581e+00	  1.1506e-01	  7.0791e-04	  9.4238e-02	  0.0000e+00	  1.3349e-02	  1.2780e-08	  0.0000e+00	  0.0000e+00	  5.9726e-02	  2.0936e-04	
           8	       react	           1	         -99	           0	           8	     11.2837	     6.94805	 -1.5150e-01	  5.1156e+00	  5.1725e+00	  1.1516e-01	  7.0989e-04	  9.4287e-02	  0.0000e+00	  1.3349e-02	  1.2753e-08	  0.0000e+00	  0.0000e+00	  5.9936e-02	  2.0968e-04	
           8	       react	           1	         -99	           0	           9	      11.285	     6.94656	 -1.5150e-01	  5.1299e+00	  5.1870e+00	  1.1527e-01	  7.1188e-04	  9.4336e-02	  0.0000e+00	  1.3349e-02	  1.2725e-08	  0.0000e+00	  0.0000e+00	  6.0146e-02	  2.0999e-04	
           8	       react	           1	         -99	           0	          10	     11.2864	     6.94506	 -1.5150e-01	  5.1443e+00	  5.2016e+00	  1.1538e-01	  7.1388e-04	  9.4385e-02	  0.0000e+00	  1.3349e-02	  1.2697e-08	  0.0000e+00	  0.0000e+00	  6.0356e-02	  2.1031e-04	
           8	       react	           1	         -99	           0	          11	     11.2877	     6.94356	 -1.5150e-01	  5.1589e+00	  5.2163e+00	  1.1549e-01	  7.1589e-04	  9.4435e-02	  0.0000e+00	  1.3349e-02	  1.2670e-08	  0.0000e+00	  0.0000e+00	  6.0567e-02	  2.1063e-04	
           8	       react	           1	         -99	           0	          12	     11.2891	     6.94205	 -1.5150e-01	  5.1735e+00	  5.2311e+00	  1.1560e-01	  7.1792e-04	  9.4484e-02	  0.0000e+00	  1.3349e-02	  1.2642e-08	  0.0000e+00	  0.0000e+00	  6.0778e-02	  2.1095e-04	
           8	       react	           1	         -99	           0	          13	     11.2904	     6.94054	 -1.5150e-01	  5.1881e+00	  5.2459e+00	  1.1571e-01	  7.1996e-04	  9.4533e-02	  0.0000e+00	  1.3349e-02	  1.2614e-08	  0.0000e+00	  0.0000e+00	  6.0989e-02	  2.1127e-04	
           8	       react	           1	         -99	           0	          14	     11.2918	     6.93902	 -1.5150e-01	  5.2029e+00	  5.2608e+00	  1.1581e-01	  7.2200e-04	  9.4582e-02	  0.0000e+00	  1.3349e-02	  1.2586e-08	  0.0000e+00	  0.0000e+00	  6.1201e-02	  2.1159e-04	
           8	       react	           1	         -99	           0	          15	     11.2931	     6.93749	 -1.5150e-01	  5.2177e+00	  5.2758e+00	  1.1592e-01	  7.2406e-04	  9.4631e-02	  0.0000e+00	  1.3349e-02	  1.2557e-08	  0.0000e+00	  0.0000e+00	  6.1413e-02	  2.1191e-04	
           8	       react	           1	         -99	           0	          16	     11.2945	     6.93596	 -1.5150e-01	  5.2327e+00	  5.2909e+00	  1.1603e-01	  7.2614e-04	  9.4680e-02	  0.0000e+00	  1.3349e-02	  1.2529e-08	  0.0000e+00	  0.0000e+00	  6.1625e-02	  2.1224e-04	
           8	       react	           1	         -99	           0	          17	     11.2959	     6.93442	 -1.5150e-01	  5.2477e+00	  5.3061e+00	  1.1614e-01	  7.2822e-04	  9.4728e-02	  0.0000e+00	  1.3349e-02	  1.2500e-08	  0.0000e+00	  0.0000e+00	  6.1837e-02	  2.1256e-04	
           8	       react	           1	         -99	           0	          18	     11.2972	     6.93288	 -1.5150e-01	  5.2628e+00	  5.3214e+00	  1.1625e-01	  7.3032e-04	  9.4777e-02	  0.0000e+00	  1.3349e-02	  1.2472e-08	  0.0000e+00	  0.0000e+00	  6.2050e-02	  2.1289e-04	
           8	       react	           1	         -99	           0	          19	     11.2986	     6.93134	 -1.5150e-01	  5.2780e+00	  5.3367e+00	  1.1636e-01	  7.3242e-04	  9.4826e-02	  0.0000e+00	  1.3349e-02	  1.2443e-08	  0.0000e+00	  0.0000e+00	  6.2264e-02	  2.1321e-04	
